iter	Logloss
0	0.6727874126
1	0.654376977
2	0.637893959
3	0.6233595234
4	0.6098919211
5	0.5980652996
6	0.5871182682
7	0.5768915036
8	0.5684340604
9	0.5603880862
10	0.5526602024
11	0.5457278163
12	0.5395315389
13	0.5343392481
14	0.5294556806
15	0.52501027
16	0.5208093665
17	0.5171343582
18	0.513690915
19	0.5101235802
20	0.5071684594
21	0.504511449
22	0.5020315613
23	0.4997158379
24	0.4973116474
25	0.4951927981
26	0.4935404554
27	0.4917013926
28	0.4901165785
29	0.4886188434
30	0.4871070017
31	0.4857796546
32	0.4844776465
33	0.4833900774
34	0.4824364708
35	0.4814963075
36	0.480462034
37	0.4796138601
38	0.4787730517
39	0.4781105345
40	0.477406338
41	0.4766101509
42	0.4756925972
43	0.4749261282
44	0.4741403513
45	0.4734539878
46	0.4727866702
47	0.4722440336
48	0.471766495
49	0.4711440203
50	0.4705601594
51	0.4701352954
52	0.4692534468
53	0.4686718085
54	0.468306544
55	0.4676209396
56	0.4669488755
57	0.466546871
58	0.4660585824
59	0.4656327669
60	0.465123023
61	0.4646617605
62	0.4639442837
63	0.4635102259
64	0.4632064106
65	0.4626127898
66	0.4622735995
67	0.4618671077
68	0.4611966888
69	0.4604956047
70	0.4599295168
71	0.459577137
72	0.4590812402
73	0.4586959522
74	0.4580750055
75	0.4578338168
76	0.4574537423
77	0.456849089
78	0.4565320164
79	0.4559597028
80	0.4556378281
81	0.4552947183
82	0.455018037
83	0.4547850726
84	0.4542549594
85	0.4539366631
86	0.4535302086
87	0.45333897
88	0.4529271911
89	0.4526282643
90	0.4520564731
91	0.4517335687
92	0.4514710024
93	0.4510286237
94	0.4505519764
95	0.4502177058
96	0.4499629673
97	0.4497591729
98	0.4494954799
99	0.4489995476
100	0.4487856007
101	0.4484159791
102	0.4482550684
103	0.4478552743
104	0.447487869
105	0.4473204265
106	0.4469300385
107	0.4467189721
108	0.4462246894
109	0.4458293683
110	0.4453627489
111	0.4449860199
112	0.4445766361
113	0.4442499463
114	0.4439700771
115	0.4435588693
116	0.4431588501
117	0.4430307204
118	0.4427870323
119	0.4425776796
120	0.4424484536
121	0.442221675
122	0.4418660224
123	0.4415790798
124	0.4414738253
125	0.4412386295
126	0.440953065
127	0.4405387919
128	0.4401675007
129	0.4399588947
130	0.4397324482
131	0.4393318073
132	0.4390694583
133	0.4388174634
134	0.4385299323
135	0.4381745104
136	0.4379139919
137	0.4377583237
138	0.4374641782
139	0.4372285773
140	0.4370520598
141	0.4369385635
142	0.4366484796
143	0.4363629056
144	0.43612485
145	0.4358398882
146	0.4356664854
147	0.4354263359
148	0.4351330419
149	0.4348760063
150	0.4347671051
151	0.4345837496
152	0.4343890246
153	0.4342418425
154	0.4340884586
155	0.4338889109
156	0.4337782312
157	0.4336190757
158	0.4334925102
159	0.433353841
160	0.4332735099
161	0.4331465478
162	0.4329878771
163	0.432821281
164	0.4325878656
165	0.4324569863
166	0.4322563117
167	0.4321249119
168	0.4319799895
169	0.4317556967
170	0.4315570905
171	0.4312151029
172	0.4311054054
173	0.4310055578
174	0.4307588017
175	0.4306609347
176	0.4304148765
177	0.4303358172
178	0.4302010701
179	0.43003365
180	0.4298570512
181	0.4296394391
182	0.4293639276
183	0.4291984964
184	0.4291182376
185	0.4290050671
186	0.4289292126
187	0.4288216775
188	0.4284900611
189	0.4281992015
190	0.4281328726
191	0.4279659559
192	0.4278932574
193	0.4277012058
194	0.4275393635
195	0.4273826915
196	0.427193963
197	0.4268703596
198	0.4265730843
199	0.4262444961
200	0.4261019173
201	0.425754754
202	0.4255685498
203	0.4255014218
204	0.4253319
205	0.4252562864
206	0.4250019638
207	0.4249245194
208	0.4248550683
209	0.4246980077
210	0.42463402
211	0.42455057
212	0.4242802202
213	0.4242067515
214	0.4241219696
215	0.4239977322
216	0.4239225797
217	0.4236745271
218	0.4234033882
219	0.4233310772
220	0.4231699833
221	0.4229609029
222	0.4228923167
223	0.4228359445
224	0.422681251
225	0.4224250084
226	0.4223062035
227	0.4221454617
228	0.4220602032
229	0.4218997547
230	0.4217164314
231	0.4216550534
232	0.4214472535
233	0.4213793171
234	0.4212019058
235	0.4210452666
236	0.4207608231
237	0.420472174
238	0.4203648261
239	0.420201217
240	0.4200751159
241	0.4200106753
242	0.4199505207
243	0.4198800347
244	0.4197620669
245	0.4196336618
246	0.4195669229
247	0.419319889
248	0.4192322592
249	0.4189788711
250	0.4188190598
251	0.4187500967
252	0.4186792804
253	0.4185436331
254	0.4184102159
255	0.4182755775
256	0.4180372015
257	0.4178386779
258	0.4177835927
259	0.4176444097
260	0.4175811013
261	0.4173605443
262	0.4172426043
263	0.417186088
264	0.4170804053
265	0.4168784993
266	0.4167184905
267	0.4166155062
268	0.4163426695
269	0.4161529433
270	0.4160349577
271	0.4158858142
272	0.4157130356
273	0.4154434424
274	0.4152993018
275	0.4152422806
276	0.4151133853
277	0.4149567748
278	0.4148968731
279	0.4147544916
280	0.4145587786
281	0.414412609
282	0.4142071792
283	0.4141532767
284	0.4140050493
285	0.4138736788
286	0.4137980625
287	0.413734031
288	0.4136292057
289	0.4135398191
290	0.4134351145
291	0.413287928
292	0.4132317026
293	0.4131769026
294	0.4130365612
295	0.4129188873
296	0.4128211501
297	0.4126853041
298	0.4125919215
299	0.4125239602
300	0.4123236089
301	0.4121380337
302	0.412022509
303	0.4117891955
304	0.4117151663
305	0.4114781122
306	0.4112825482
307	0.4111200807
308	0.4109811459
309	0.4108589401
310	0.4107345735
311	0.4106159162
312	0.4105328483
313	0.4104344582
314	0.4103194845
315	0.4101097809
316	0.4100592887
317	0.4098849158
318	0.409703333
319	0.4094956813
320	0.4093225085
321	0.4092701498
322	0.409109577
323	0.408992093
324	0.4089180851
325	0.4088671846
326	0.4087788832
327	0.4085987541
328	0.4084415993
329	0.4083201761
330	0.408234753
331	0.4080795783
332	0.4080298132
333	0.4078712967
334	0.4077423421
335	0.4076557225
336	0.4076084186
337	0.4074840051
338	0.4073724639
339	0.407217823
340	0.4071468519
341	0.4071004533
342	0.4070541853
343	0.4070001792
344	0.4069210256
345	0.4068024523
346	0.4066943027
347	0.4066443535
348	0.406463694
349	0.4063883901
350	0.4063158551
351	0.4062693697
352	0.4061912421
353	0.4061036933
354	0.4059985283
355	0.4059569972
356	0.4058269462
357	0.4057593343
358	0.4056766064
359	0.4055713665
360	0.4055225178
361	0.405464139
362	0.4053978757
363	0.4053129071
364	0.4052554968
365	0.4051774968
366	0.4051355419
367	0.4050237839
368	0.4049167916
369	0.4048765134
370	0.4047941573
371	0.4047106455
372	0.4046504546
373	0.4044596331
