iter	Passed	Remaining
253	36833	35673
254	36960	35510
255	37087	35349
256	37255	35225
257	37387	35069
258	37523	34915
259	37650	34754
260	37778	34593
261	37945	34469
262	38080	34316
263	38209	34157
264	38335	33995
265	38480	33851
266	38633	33713
267	38771	33563
268	38945	33443
269	39071	33283
270	39222	33143
271	39352	32986
272	39478	32826
273	39657	32710
274	39783	32549
275	39910	32391
276	40037	32232
277	40174	32081
278	40301	31923
279	40431	31767
280	40575	31623
281	40703	31465
282	40839	31314
283	40966	31157
284	41096	31002
285	41224	30846
286	41355	30692
287	41480	30534
288	41609	30378
289	41742	30227
290	41871	30072
291	42011	29925
292	42151	29779
293	42282	29626
294	42413	29473
295	42545	29321
296	42676	29169
297	42829	29031
298	42962	28881
299	43097	28731
300	43237	28585
301	43380	28441
302	43508	28288
303	43665	28152
304	43793	27998
305	43972	27878
306	44141	27749
307	44281	27603
308	44434	27465
309	44560	27311
310	44692	27160
311	44833	27015
312	44963	26862
313	45093	26711
314	45220	26558
315	45402	26436
316	45540	26289
317	45681	26144
318	45842	26010
319	45999	25874
320	46153	25736
321	46291	25589
322	46454	25456
323	46583	25304
324	46736	25165
325	46871	25017
326	47003	24867
327	47153	24727
328	47300	24584
329	47440	24438
330	47571	24288
331	47720	24147
332	47853	23998
333	48014	23863
334	48172	23726
335	48302	23576
336	48433	23426
337	48590	23289
338	48732	23144
339	48893	23008
340	49037	22865
341	49173	22717
342	49304	22567
343	49437	22419
344	49565	22268
345	49701	22121
346	49828	21970
347	49953	21818
348	50109	21680
349	50237	21530
350	50390	21390
351	50526	21244
352	50663	21097
353	50782	20944
354	50909	20793
355	51036	20643
356	51165	20495
357	51296	20346
358	51422	20196
359	51572	20056
360	51702	19907
361	51843	19763
362	51968	19613
363	52096	19464
364	52226	19316
365	52355	19168
366	52485	19020
367	52612	18871
368	52742	18724
369	52867	18575
370	53000	18428
371	53129	18281
372	53273	18138
373	53440	18003
374	53568	17856
375	53700	17709
376	53830	17562
377	53985	17423
378	54115	17277
379	54263	17135
380	54400	16991
381	54557	16852
382	54695	16708
383	54828	16562
384	54963	16417
385	55102	16273
386	55256	16134
387	55393	15989
388	55541	15848
389	55682	15705
390	55810	15558
391	55939	15411
392	56070	15265
393	56213	15123
394	56348	14978
395	56475	14832
396	56617	14689
397	56757	14545
398	56923	14409
399	57074	14268
400	57221	14127
401	57377	13987
402	57510	13842
403	57689	13708
404	57846	13569
405	57985	13425
406	58157	13288
407	58284	13142
408	58430	13000
409	58570	12856
410	58699	12710
411	58828	12565
412	58956	12419
413	59087	12274
414	59227	12131
415	59352	11984
416	59477	11838
417	59636	11698
418	59785	11557
419	59915	11412
420	60050	11268
421	60190	11125
422	60343	10984
423	60491	10842
424	60618	10697
425	60767	10555
426	60893	10410
427	61020	10265
428	61153	10121
429	61281	9976
430	61412	9831
431	61542	9687
432	61668	9542
433	61803	9398
434	61944	9256
435	62094	9114
436	62236	8972
437	62358	8827
438	62511	8686
439	62641	8541
440	62772	8398
441	62939	8259
442	63064	8114
443	63225	7974
444	63360	7831
445	63489	7687
446	63621	7543
447	63753	7399
448	63892	7257
449	64019	7113
450	64181	6973
451	64311	6829
452	64440	6685
453	64573	6542
454	64698	6398
455	64832	6255
456	64964	6112
457	65098	5969
458	65224	5826
459	65360	5683
460	65485	5540
461	65611	5396
462	65738	5253
463	65887	5111
464	66024	4969
465	66155	4826
466	66289	4684
467	66414	4541
468	66543	4398
469	66673	4255
470	66819	4114
471	66964	3972
472	67082	3829
473	67209	3686
474	67347	3544
475	67483	3402
476	67616	3260
477	67762	3118
478	67909	2977
479	68088	2837
480	68220	2694
481	68351	2552
482	68483	2410
483	68619	2268
484	68754	2126
485	68881	1984
486	69010	1842
487	69145	1700
488	69275	1558
489	69411	1416
490	69570	1275
491	69710	1133
492	69852	991
493	69980	849
494	70105	708
495	70234	566
496	70362	424
497	70496	283
498	70622	141
499	70755	0
