iter	Passed	Remaining
288	3553	2594
289	3565	2581
290	3576	2568
291	3588	2556
292	3600	2543
293	3612	2530
294	3624	2518
295	3635	2505
296	3648	2493
297	3659	2480
298	3670	2467
299	3682	2455
300	3695	2443
301	3707	2430
302	3720	2418
303	3732	2406
304	3745	2394
305	3759	2383
306	3771	2371
307	3784	2358
308	3797	2347
309	3809	2334
310	3821	2322
311	3833	2309
312	3844	2297
313	3856	2284
314	3868	2271
315	3880	2259
316	3892	2246
317	3905	2235
318	3916	2222
319	3929	2210
320	3943	2199
321	3957	2187
322	3972	2176
323	3984	2164
324	3997	2152
325	4011	2140
326	4023	2128
327	4037	2116
328	4050	2105
329	4062	2092
330	4074	2080
331	4086	2067
332	4100	2056
333	4111	2043
334	4123	2031
335	4135	2018
336	4147	2006
337	4159	1993
338	4171	1981
339	4184	1969
340	4196	1956
341	4208	1944
342	4220	1931
343	4232	1919
344	4244	1906
345	4255	1894
346	4266	1881
347	4279	1869
348	4291	1856
349	4304	1844
350	4315	1831
351	4327	1819
352	4339	1806
353	4351	1794
354	4365	1782
355	4377	1770
356	4389	1758
357	4401	1745
358	4413	1733
359	4426	1721
360	4440	1709
361	4453	1697
362	4465	1685
363	4478	1673
364	4491	1661
365	4503	1648
366	4516	1636
367	4528	1624
368	4539	1611
369	4552	1599
370	4563	1586
371	4575	1574
372	4586	1561
373	4598	1549
374	4612	1537
375	4624	1525
376	4637	1512
377	4649	1500
378	4661	1488
379	4673	1475
380	4685	1463
381	4697	1451
382	4709	1438
383	4721	1426
384	4733	1413
385	4745	1401
386	4758	1389
387	4770	1377
388	4782	1364
389	4794	1352
390	4806	1339
391	4819	1327
392	4831	1315
393	4844	1303
394	4856	1290
395	4867	1278
396	4881	1266
397	4895	1254
398	4907	1242
399	4919	1229
400	4932	1217
401	4945	1205
402	4957	1193
403	4969	1180
404	4980	1168
405	4992	1155
406	5005	1143
407	5017	1131
408	5029	1118
409	5040	1106
410	5052	1094
411	5063	1081
412	5076	1069
413	5088	1056
414	5099	1044
415	5111	1032
416	5122	1019
417	5135	1007
418	5147	995
419	5161	983
420	5173	970
421	5185	958
422	5197	946
423	5209	933
424	5221	921
425	5233	909
426	5244	896
427	5257	884
428	5269	872
429	5281	859
430	5294	847
431	5306	835
432	5317	822
433	5329	810
434	5341	798
435	5353	785
436	5364	773
437	5378	761
438	5390	748
439	5401	736
440	5413	724
441	5425	711
442	5437	699
443	5449	687
444	5461	675
445	5474	662
446	5485	650
447	5496	638
448	5509	625
449	5521	613
450	5534	601
451	5546	588
452	5557	576
453	5570	564
454	5582	552
455	5594	539
456	5607	527
457	5618	515
458	5631	503
459	5642	490
460	5655	478
461	5667	466
462	5679	453
463	5691	441
464	5703	429
465	5715	416
466	5726	404
467	5738	392
468	5750	380
469	5763	367
470	5775	355
471	5788	343
472	5800	331
473	5813	318
474	5826	306
475	5837	294
476	5850	282
477	5862	269
478	5874	257
479	5887	245
480	5899	233
481	5912	220
482	5926	208
483	5938	196
484	5950	184
485	5961	171
486	5973	159
487	5984	147
488	5996	134
489	6008	122
490	6020	110
491	6031	98
492	6043	85
493	6056	73
494	6069	61
495	6080	49
496	6093	36
497	6106	24
498	6117	12
499	6129	0
